X,pclass,sex,sibsp,parch,fare,age
133,132,3,0,1,0,14.5,47
134,133,2,0,1,0,26,29
135,134,2,1,0,0,13,25
136,135,2,1,0,0,15.0458,23
137,136,1,0,0,2,26.2833,19
138,137,1,1,1,0,53.1,37
139,138,3,1,0,0,9.2167,16
140,139,1,1,0,0,79.2,24
141,140,3,0,0,2,15.2458,36.0622791267785
142,141,3,0,0,0,7.75,22
143,142,3,0,1,0,15.85,24
144,143,3,1,0,0,6.75,19
145,144,2,1,0,0,11.5,18
146,145,2,1,1,1,36.75,19
147,146,3,1,0,0,7.7958,27
148,147,3,0,2,2,34.375,9
149,148,2,1,0,2,26,36.5
150,149,2,1,0,0,13,42
151,150,2,1,0,0,12.525,51
152,151,1,0,1,0,66.6,22
153,152,3,1,0,0,8.05,55.5
154,153,3,1,0,2,14.5,40.5
155,154,3,1,0,0,7.3125,121.753056093285
156,155,1,1,0,1,61.3792,51
157,156,3,0,0,0,7.7333,16
158,157,3,1,0,0,8.05,30
159,158,3,1,0,0,8.6625,32.1748078769854
160,159,3,1,8,2,69.55,14.1920186319255
161,160,3,1,0,1,16.1,44
162,161,2,0,0,0,15.75,40
163,162,3,1,0,0,7.775,26
164,163,3,1,0,0,8.6625,17
165,164,3,1,4,1,39.6875,1
166,165,3,1,0,2,20.525,9
167,166,1,0,0,1,55,19.0721300986095
168,167,3,0,1,4,27.9,45
169,168,1,1,0,0,25.925,36.2925771483392
170,169,3,1,0,0,56.4958,28
171,170,1,1,0,0,33.5,61
172,171,3,1,4,1,29.125,4
173,172,3,0,1,1,11.1333,1
174,173,3,1,0,0,7.925,21
175,174,1,1,0,0,30.6958,56
176,175,3,1,1,1,7.8542,18
177,176,3,1,3,1,25.4667,8.64105385236329
178,177,1,0,0,0,28.7125,50
179,178,2,1,0,0,13,30
180,179,3,1,0,0,0,36
181,180,3,0,8,2,69.55,15.6391087032758
182,181,2,1,0,0,15.05,52.7027379025765
183,182,3,1,4,2,31.3875,9
184,183,2,1,2,1,39,1
185,184,3,0,0,2,22.025,4
186,185,1,1,0,0,50,46.0837719539632
187,186,3,0,1,0,15.5,8.33141842633897
188,187,1,1,0,0,26.55,45
189,188,3,1,1,1,15.5,40
190,189,3,1,0,0,7.8958,36
191,190,2,0,0,0,13,32
192,191,2,1,0,0,13,19
193,192,3,0,1,0,7.8542,19
194,193,2,1,1,1,26,3
195,194,1,0,0,0,27.7208,44
196,195,1,0,0,0,146.5208,58
197,196,3,1,0,0,7.75,34.3385258209002
198,197,3,1,0,1,8.4042,42
199,198,3,0,0,0,7.75,27.0276758232533
200,199,2,0,0,0,13,24
201,200,3,1,0,0,9.5,28
202,201,3,1,8,2,69.55,9.4502433875417
203,202,3,1,0,0,6.4958,34
204,203,3,1,0,0,7.225,45.5
205,204,3,1,0,0,8.05,18
206,205,3,0,0,1,10.4625,2
207,206,3,1,1,0,15.85,32
208,207,3,1,0,0,18.7875,26
209,208,3,0,0,0,7.75,16
210,209,1,1,0,0,31,40
211,210,3,1,0,0,7.05,24
212,211,2,0,0,0,21,35
213,212,3,1,0,0,7.25,22
214,213,2,1,0,0,13,30
215,214,3,1,1,0,7.75,22.641065614418
216,215,1,0,1,0,113.275,31
217,216,3,0,0,0,7.925,27
218,217,2,1,1,0,27,42
219,218,1,0,0,0,76.2917,32
220,219,2,1,0,0,10.5,30
221,220,3,1,0,0,8.05,16
222,221,2,1,0,0,13,27
223,222,3,1,0,0,8.05,51
224,223,3,1,0,0,7.8958,71.7905266104026
225,224,1,1,1,0,90,38
226,225,3,1,0,0,9.35,22
227,226,2,1,0,0,10.5,19
228,227,3,1,0,0,7.25,20.5
229,228,2,1,0,0,13,18
230,229,3,0,3,1,25.4667,4.81314232163345
231,230,1,0,1,0,83.475,35
232,231,3,1,0,0,7.775,29
233,232,2,1,0,0,13.5,59
234,233,3,0,4,2,31.3875,5
235,234,2,1,0,0,10.5,24
236,235,3,0,0,0,7.55,49.0252618485345
237,236,2,1,1,0,26,44
238,237,2,0,0,2,26.25,8
239,238,2,1,0,0,10.5,19
240,239,2,1,0,0,12.275,33
241,240,3,0,1,0,14.4542,33.1863227608246
242,241,3,0,1,0,15.5,41.4518484253332
243,242,2,1,0,0,10.5,29
244,243,3,1,0,0,7.125,22
245,244,3,1,0,0,7.225,30
246,245,1,1,2,0,90,44
247,246,3,0,0,0,7.775,25
248,247,2,0,0,2,14.5,24
249,248,1,1,1,1,52.5542,37
250,249,2,1,1,0,26,54
251,250,3,1,0,0,7.25,7.40849584299657
252,251,3,0,1,1,10.4625,29
253,252,1,1,0,0,26.55,62
254,253,3,1,1,0,16.1,30
255,254,3,0,0,2,20.2125,41
256,255,3,0,0,2,15.2458,29
257,256,1,0,0,0,79.2,44.4592460292518
258,257,1,0,0,0,86.5,30
259,258,1,0,0,0,512.3292,35
260,259,2,0,0,1,26,50
261,260,3,1,0,0,7.75,18.006403296717
262,261,3,1,4,2,31.3875,3
263,262,1,1,1,1,79.65,52
264,263,1,1,0,0,0,40
265,264,3,0,0,0,7.75,11.9643971845923
266,265,2,1,0,0,10.5,36
267,266,3,1,4,1,39.6875,16
268,267,3,1,1,0,7.775,25
269,268,1,0,0,1,153.4625,58
270,269,1,0,0,0,135.6333,35
271,270,1,1,0,0,31,105.269889776825
272,271,3,1,0,0,0,25
273,272,2,0,0,1,19.5,41
274,273,1,1,0,1,29.7,37
275,274,3,0,0,0,7.75,24.0483438700155
276,275,1,0,1,0,77.9583,63
277,276,3,0,0,0,7.75,45
278,277,2,1,0,0,0,67.3926358128401
279,278,3,1,4,1,29.125,7
280,279,3,0,1,1,20.25,35
281,280,3,1,0,0,7.75,65
282,281,3,1,0,0,7.8542,28
283,282,3,1,0,0,9.5,16
284,283,3,1,0,0,8.05,19
285,284,1,1,0,0,26,27.911567652526
286,285,3,1,0,0,8.6625,33
287,286,3,1,0,0,9.5,30
288,287,3,1,0,0,7.8958,22
289,288,2,1,0,0,13,42
290,289,3,0,0,0,7.75,22
291,290,1,0,0,0,78.85,26
292,291,1,0,1,0,91.0792,19
293,292,2,1,0,0,12.875,36
294,293,3,0,0,0,8.85,24
295,294,3,1,0,0,7.8958,24
296,295,1,1,0,0,27.7208,29.5917428726745
297,296,3,1,0,0,7.2292,23.5
298,297,1,0,1,2,151.55,2
299,298,1,1,0,0,30.5,48.3841872414714
300,299,1,0,0,1,247.5208,50
301,300,3,0,0,0,7.75,23.1636151511961
302,301,3,1,2,0,23.25,55.8276091664996
303,302,3,1,0,0,0,19
304,303,2,0,0,0,12.35,21.3506875815633
305,304,3,1,0,0,8.05,26.6444331277509
306,305,1,1,1,2,151.55,0.92
307,306,1,0,0,0,110.8833,34.9603264462815
308,307,1,0,1,0,108.9,17
309,308,2,1,1,0,24,30
310,309,1,0,0,0,56.9292,30
311,310,1,0,0,0,83.1583,24
312,311,1,0,2,2,262.375,18
313,312,2,0,1,1,26,26
314,313,3,1,0,0,7.8958,28
315,314,2,1,1,1,26.25,43
316,315,3,0,0,0,7.8542,26
317,316,2,0,1,0,26,24
318,317,2,1,0,0,14,54
319,318,1,0,0,2,164.8667,31
320,319,1,0,1,1,134.5,40
321,320,3,1,0,0,7.25,22
322,321,3,1,0,0,7.8958,27
323,322,2,0,0,0,12.35,30
324,323,2,0,1,1,29,22
325,324,3,1,8,2,69.55,8.19088365330029
326,325,1,0,0,0,135.6333,36
327,326,3,1,0,0,6.2375,61
328,327,2,0,0,0,13,36
329,328,3,0,1,1,20.525,31
330,329,1,0,0,1,57.9792,16
331,330,3,0,2,0,23.25,28.2787193098153
332,331,1,1,0,0,28.5,45.5
333,332,1,1,0,1,153.4625,38
334,333,3,1,2,0,18,16
335,334,1,0,1,0,133.65,64.2176357001083
336,335,3,1,0,0,7.8958,12.2714050566236
337,336,1,1,1,0,66.6,29
338,337,1,0,0,0,134.5,41
339,338,3,1,0,0,8.05,45
340,339,1,1,0,0,35.5,45
341,340,2,1,1,1,26,2
342,341,1,0,3,2,263,24
343,342,2,1,0,0,13,28
344,343,2,1,0,0,13,25
345,344,2,1,0,0,13,36
346,345,2,0,0,0,13,24
347,346,2,0,0,0,13,40
348,347,3,0,1,0,16.1,14.910912300552
349,348,3,1,1,1,15.9,3
350,349,3,1,0,0,8.6625,42
351,350,3,1,0,0,9.225,23
352,351,1,1,0,0,35,48.8852629514829
353,352,3,1,1,1,7.2292,15
354,353,3,1,1,0,17.8,25
355,354,3,1,0,0,7.225,16.8768930608177
356,355,3,1,0,0,9.5,28
357,356,1,0,0,1,55,22
358,357,2,0,0,0,13,38
359,358,3,0,0,0,7.8792,30.7314804331045
360,359,3,0,0,0,7.8792,11.7265564421817
361,360,3,1,1,4,27.9,40
362,361,2,1,1,0,27.7208,29
363,362,3,0,0,1,14.4542,45
364,363,3,1,0,0,7.05,35
365,364,3,1,1,0,15.5,6.67799453297949
366,365,3,1,0,0,7.25,30
367,366,1,0,1,0,75.25,60
368,367,3,0,0,0,7.2292,11.785904266976
369,368,3,0,0,0,7.75,30.3242624629091
370,369,1,0,0,0,69.3,24
371,370,1,1,1,0,55.4417,25
372,371,3,1,1,0,6.4958,18
373,372,3,1,0,0,8.05,19
374,373,1,1,0,0,135.6333,22
375,374,3,0,3,1,21.075,3
376,375,1,0,1,0,82.1708,73.5926039420564
377,376,3,0,0,0,7.25,22
378,377,1,1,0,2,211.5,27
379,378,3,1,0,0,4.0125,20
380,379,3,1,0,0,7.775,19
381,380,1,0,0,0,227.525,42
382,381,3,0,0,2,15.7417,1
383,382,3,1,0,0,7.925,32
384,383,1,0,1,0,52,35
385,384,3,1,0,0,7.8958,28.1203045961586
386,385,2,1,0,0,73.5,18
387,386,3,1,5,2,46.9,1
388,387,2,0,0,0,13,36
389,388,3,1,0,0,7.7292,23.1706983530109
390,389,2,0,0,0,12,17
391,390,1,1,1,2,120,36
392,391,3,1,0,0,7.7958,21
393,392,3,1,2,0,7.925,28
394,393,1,0,1,0,113.275,23
395,394,3,0,0,2,16.7,24
396,395,3,1,0,0,7.7958,22
397,396,3,0,0,0,7.8542,31
398,397,2,1,0,0,26,46
399,398,2,1,0,0,10.5,23
400,399,2,0,0,0,12.65,28
401,400,3,1,0,0,7.925,39
402,401,3,1,0,0,8.05,26
403,402,3,0,1,0,9.825,21
404,403,3,1,1,0,15.85,28
405,404,3,0,0,0,8.6625,20
406,405,2,1,1,0,21,34
407,406,3,1,0,0,7.75,51
408,407,2,1,1,1,18.75,3
409,408,3,1,0,0,7.775,21
410,409,3,0,3,1,25.4667,5.13550579041003
411,410,3,1,0,0,7.8958,11.1302067585313
412,411,3,1,0,0,6.8583,26.1169947317973
413,412,1,0,1,0,90,33
414,413,2,1,0,0,0,22.0128409375649
415,414,3,1,0,0,7.925,44
416,415,3,0,0,0,8.05,13.2703584321848
417,416,2,0,1,1,32.5,34
418,417,2,0,0,2,13,18
419,418,2,1,0,0,13,30
420,419,3,0,0,2,24.15,10
421,420,3,1,0,0,7.8958,38.2555008255697
422,421,3,1,0,0,7.7333,21
423,422,3,1,0,0,7.875,29
424,423,3,0,1,1,14.4,28
425,424,3,1,1,1,20.2125,18
426,425,3,1,0,0,7.25,6.74063003364622
427,426,2,0,1,0,26,28
428,427,2,0,0,0,26,19
429,428,3,1,0,0,7.75,22.454485725526
430,429,3,1,0,0,8.05,32
431,430,1,1,0,0,26.55,28
432,431,3,0,1,0,16.1,31.3022522767293
433,432,2,0,1,0,26,42
434,433,3,1,0,0,7.125,17
435,434,1,1,1,0,55.9,50
436,435,1,0,1,2,120,14
437,436,3,0,2,2,34.375,21
438,437,2,0,2,3,18.75,24
439,438,1,1,1,4,263,64
440,439,2,1,0,0,10.5,31
441,440,2,0,1,1,26.25,45
442,441,3,1,0,0,9.5,20
443,442,3,1,1,0,7.775,25
444,443,2,0,0,0,13,28
445,444,3,1,0,0,8.1125,22.68966253947
446,445,1,1,0,2,81.8583,4
447,446,2,0,0,1,19.5,13
448,447,1,1,0,0,26.55,34
449,448,3,0,2,1,19.2583,5
450,449,1,1,0,0,30.5,52
451,450,2,1,1,2,27.75,36
452,451,3,1,1,0,19.9667,49.2031020740761
453,452,1,1,0,0,27.75,30
454,453,1,1,1,0,89.1042,49
455,454,3,1,0,0,8.05,14.8576596694744
456,455,3,1,0,0,7.8958,29
457,456,1,1,0,0,26.55,65
458,457,1,0,1,0,51.8625,49.3689646728988
459,458,2,0,0,0,10.5,50
460,459,3,1,0,0,7.75,79.5664332992491
461,460,1,1,0,0,26.55,48
462,461,3,1,0,0,8.05,34
463,462,1,1,0,0,38.5,47
464,463,2,1,0,0,13,48
465,464,3,1,0,0,8.05,26.0723691795849
466,465,3,1,0,0,7.05,38
467,466,2,1,0,0,0,14.657756157825
468,467,1,1,0,0,26.55,56
469,468,3,1,0,0,7.725,21.0477382054524
470,469,3,0,2,1,19.2583,0.75
471,470,3,1,0,0,7.25,30.5009397452439
472,471,3,1,0,0,8.6625,38
473,472,2,0,1,2,27.75,33
474,473,2,0,0,0,13.7917,23
475,474,3,0,0,0,9.8375,22
476,475,1,1,0,0,52,40.7215425741475
477,476,2,1,1,0,21,34
478,477,3,1,1,0,7.0458,29
479,478,3,1,0,0,7.5208,22
480,479,3,0,0,1,12.2875,2
481,480,3,1,5,2,46.9,9
482,481,2,1,0,0,0,37.0354853120469
483,482,3,1,0,0,8.05,50
484,483,3,0,0,0,9.5875,63
485,484,1,1,1,0,91.0792,25
486,485,3,0,3,1,25.4667,22.6702312724454
487,486,1,0,1,0,90,35
488,487,1,1,0,0,29.7,58
489,488,3,1,0,0,8.05,30
490,489,3,1,1,1,15.9,9
491,490,3,1,1,0,19.9667,31.8364409065647
492,491,3,1,0,0,7.25,21
493,492,1,1,0,0,30.5,55
494,493,1,1,0,0,49.5042,71
495,494,3,1,0,0,8.05,21
496,495,3,1,0,0,14.4583,11.0506966224028
497,496,1,0,1,0,78.2667,54
498,497,3,1,0,0,15.1,15.1071203515108
499,498,1,0,1,2,151.55,25
500,499,3,1,0,0,7.7958,24
501,500,3,1,0,0,8.6625,17
502,501,3,0,0,0,7.75,21
503,502,3,0,0,0,7.6292,37.0695171816006
504,503,3,0,0,0,9.5875,37
505,504,1,0,0,0,86.5,16
506,505,1,1,1,0,108.9,18
507,506,2,0,0,2,26,33
508,507,1,1,0,0,26.55,32.8975349899213
509,508,3,1,0,0,22.525,28
510,509,3,1,0,0,56.4958,26
511,510,3,1,0,0,7.75,29
512,511,3,1,0,0,8.05,25.9413091385069
513,512,1,1,0,0,26.2875,36
514,513,1,0,1,0,59.4,54
515,514,3,1,0,0,7.4958,24
516,515,1,1,0,0,34.0208,47
517,516,2,0,0,0,10.5,34
518,517,3,1,0,0,24.15,21.4067582562446
519,518,2,0,1,0,26,36
520,519,3,1,0,0,7.8958,32
521,520,1,0,0,0,93.5,30
522,521,3,1,0,0,7.8958,22
523,522,3,1,0,0,7.225,51.8916355539329
524,523,1,0,0,1,57.9792,44
525,524,3,1,0,0,7.2292,18.8131658656779
526,525,3,1,0,0,7.75,40.5
527,526,2,0,0,0,10.5,50
528,527,1,1,0,0,221.7792,64.7790899848581
529,528,3,1,0,0,7.925,39
530,529,2,1,2,1,11.5,23
531,530,2,0,1,1,26,2
532,531,3,1,0,0,7.2292,9.88177757950965
533,532,3,1,1,1,7.2292,17
534,533,3,0,0,2,22.3583,15.2850702312354
535,534,3,0,0,0,8.6625,30
536,535,2,0,0,2,26.25,7
537,536,1,1,0,0,26.55,45
538,537,1,0,0,0,106.425,30
539,538,3,1,0,0,14.5,29.0981419571091
540,539,1,0,0,2,49.5,22
541,540,1,0,0,2,71,36
542,541,3,0,4,2,31.275,9
543,542,3,0,4,2,31.275,11
544,543,2,1,1,0,26,32
545,544,1,1,1,0,106.425,50
546,545,1,1,0,0,26,64
547,546,2,0,1,0,26,19
548,547,2,1,0,0,13.8625,47.9965928118798
549,548,3,1,1,1,20.525,33
550,549,2,1,1,1,36.75,8
551,550,1,1,0,2,110.8833,17
552,551,2,1,0,0,26,27
553,552,3,1,0,0,7.8292,15.4192064752117
554,553,3,1,0,0,7.225,22
555,554,3,0,0,0,7.775,22
556,555,1,1,0,0,26.55,62
557,556,1,0,1,0,39.6,48
558,557,1,1,0,0,227.525,145.944453254218
559,558,1,0,1,1,79.65,39
560,559,3,0,1,0,17.4,36
561,560,3,1,0,0,7.75,50.1242913800822
562,561,3,1,0,0,7.8958,40
563,562,2,1,0,0,13.5,28
564,563,3,1,0,0,8.05,20.9585124511575
565,564,3,0,0,0,8.05,19.4031060734219
566,565,3,1,2,0,24.15,24
567,566,3,1,0,0,7.8958,19
568,567,3,0,0,4,21.075,29
569,568,3,1,0,0,7.2292,48.9583498581651
570,569,3,1,0,0,7.8542,32
571,570,2,1,0,0,10.5,62
572,571,1,0,2,0,51.4792,53
573,572,1,1,0,0,26.3875,36
574,573,3,0,0,0,7.75,63.7239653326182
575,574,3,1,0,0,8.05,16
576,575,3,1,0,0,14.5,19
577,576,2,0,0,0,13,34
578,577,1,0,1,0,55.9,39
579,578,3,0,1,0,14.4583,18.5404212834936
580,579,3,1,0,0,7.925,32
581,580,2,0,1,1,30,25
582,581,1,0,1,1,110.8833,39
583,582,2,1,0,0,26,54
584,583,1,1,0,0,40.125,36
585,584,3,1,0,0,8.7125,37.4932178199742
586,585,1,0,0,2,79.65,18
587,586,2,1,0,0,15,47
588,587,1,1,1,1,79.2,60
589,588,3,1,0,0,8.05,22
590,589,3,1,0,0,8.05,51.6681134851728
591,590,3,1,0,0,7.125,35
592,591,1,0,1,0,78.2667,52
593,592,3,1,0,0,7.25,47
594,593,3,0,0,2,7.75,4.56416859579657
595,594,2,1,1,0,26,37
596,595,3,1,1,1,24.15,36
597,596,2,0,0,0,33,27.3133965734303
598,597,3,1,0,0,0,49
599,598,3,1,0,0,7.225,26.4892701662204
600,599,1,1,1,0,56.9292,49
601,600,2,0,2,1,27,24
602,601,3,1,0,0,7.8958,21.2477159049945
603,602,1,1,0,0,42.4,69.7630552201402
604,603,3,1,0,0,8.05,44
605,604,1,1,0,0,26.55,35
606,605,3,1,1,0,15.55,36
607,606,3,1,0,0,7.8958,30
608,607,1,1,0,0,30.5,27
609,608,2,0,1,2,41.5792,22
610,609,1,0,0,0,153.4625,40
611,610,3,0,1,5,31.275,39
612,611,3,1,0,0,7.05,31.640866021395
613,612,3,0,1,0,15.5,25.0907025196043
614,613,3,1,0,0,7.75,33.4864482236082
615,614,3,1,0,0,8.05,35
616,615,2,0,1,2,65,24
617,616,3,1,1,1,14.4,34
618,617,3,0,1,0,16.1,26
619,618,2,0,2,1,39,4
620,619,2,1,0,0,10.5,26
621,620,3,1,1,0,14.4542,27
622,621,1,1,1,0,52.5542,42
623,622,3,1,1,1,15.7417,20
624,623,3,1,0,0,7.8542,21
625,624,3,1,0,0,16.1,21
626,625,1,1,0,0,32.3208,61
627,626,2,1,0,0,12.35,57
628,627,1,0,0,0,77.9583,21
629,628,3,1,0,0,7.8958,26
630,629,3,1,0,0,7.7333,18.2949450480197
631,630,1,1,0,0,30,80
632,631,3,1,0,0,7.0542,51
633,632,1,1,0,0,30.5,32
634,633,1,1,0,0,0,29.6044654374934
635,634,3,0,3,2,27.9,9
636,635,2,0,0,0,13,28
637,636,3,1,0,0,7.925,32
638,637,2,1,1,1,26.25,31
639,638,3,0,0,5,39.6875,41
640,639,3,1,1,0,16.1,53.8248139145296
641,640,3,1,0,0,7.8542,20
642,641,1,0,0,0,69.3,24
643,642,3,0,3,2,27.9,2
644,643,3,1,0,0,56.4958,34.9466631345458
645,644,3,0,2,1,19.2583,0.75
646,645,1,1,1,0,76.7292,48
647,646,3,1,0,0,7.8958,19
648,647,1,1,0,0,35.5,56
649,648,3,1,0,0,7.55,55.7802276375682
650,649,3,0,0,0,7.55,23
651,650,3,1,0,0,7.8958,12.8727560614974
652,651,2,0,0,1,23,18
653,652,3,1,0,0,8.4333,21
654,653,3,0,0,0,7.8292,15.3601650440793
655,654,3,0,0,0,6.75,18
656,655,2,1,2,0,73.5,24
657,656,3,1,0,0,7.8958,94.9732643403113
658,657,3,0,1,1,15.5,32
659,658,2,1,0,0,13,23
660,659,1,1,0,2,113.275,58
661,660,1,1,2,0,133.65,50
662,661,3,1,0,0,7.225,40
663,662,1,1,0,0,25.5875,47
664,663,3,1,0,0,7.4958,36
665,664,3,1,1,0,7.925,20
666,665,2,1,2,0,73.5,32
667,666,2,1,0,0,13,25
668,667,3,1,0,0,7.775,140.58243891897
669,668,3,1,0,0,8.05,43
670,669,1,0,1,0,52,11.5657329615799
671,670,2,0,1,1,39,40
672,671,1,1,1,0,52,31
673,672,2,1,0,0,10.5,70
674,673,2,1,0,0,13,31
675,674,2,1,0,0,0,22.2787067666702
676,675,3,1,0,0,7.775,18
677,676,3,1,0,0,8.05,24.5
678,677,3,0,0,0,9.8417,18
679,678,3,0,1,6,46.9,43
680,679,1,1,0,1,512.3292,36
681,680,3,0,0,0,8.1375,41.8313825472038
682,681,1,1,0,0,76.7292,27
683,682,3,1,0,0,9.225,20
684,683,3,1,5,2,46.9,14
685,684,2,1,1,1,39,60
686,685,2,1,1,2,41.5792,25
687,686,3,1,4,1,39.6875,14
688,687,3,1,0,0,10.1708,19
689,688,3,1,0,0,7.7958,18
690,689,1,0,0,1,211.3375,15
691,690,1,1,1,0,57,31
692,691,3,0,0,1,13.4167,4
693,692,3,1,0,0,56.4958,30.4380943376876
694,693,3,1,0,0,7.225,25
695,694,1,1,0,0,26.55,60
696,695,2,1,0,0,13.5,52
697,696,3,1,0,0,8.05,44
698,697,3,0,0,0,7.7333,44.8654871329565
699,698,1,1,1,1,110.8833,49
700,699,3,1,0,0,7.65,42
701,700,1,0,1,0,227.525,18
702,701,1,1,0,0,26.2875,35
703,702,3,0,0,1,14.4542,18
704,703,3,1,0,0,7.7417,25
705,704,3,1,1,0,7.8542,26
706,705,2,1,0,0,26,39
707,706,2,0,0,0,13.5,45
708,707,1,1,0,0,26.2875,42
709,708,1,0,0,0,151.55,22
710,709,3,1,1,1,15.2458,9.69333943124477
711,710,1,0,0,0,49.5042,24
712,711,1,1,0,0,26.55,36.2117607983812
713,712,1,1,1,0,52,48
714,713,3,1,0,0,9.4833,29
715,714,2,1,0,0,13,52
716,715,3,1,0,0,7.65,19
717,716,1,0,0,0,227.525,38
718,717,2,0,0,0,10.5,27
719,718,3,1,0,0,15.5,4.47788150408913
720,719,3,1,0,0,7.775,33
721,720,2,0,0,1,33,6
722,721,3,1,1,0,7.0542,17
723,722,2,1,0,0,13,34
724,723,2,1,0,0,13,50
725,724,1,1,1,0,53.1,27
