,pclass,sex,sibsp,parch,fare,age
125,3,1,1,0,11.2417,12.0
126,3,1,0,0,7.75,
127,3,1,0,0,7.1417000000000002,24.0
128,3,0,1,1,22.3583,
129,3,1,0,0,6.9749999999999996,45.0
130,3,1,0,0,7.8958000000000004,33.0
131,3,1,0,0,7.0499999999999998,20.0
132,3,0,1,0,14.5,47.0
133,2,0,1,0,26.0,29.0
134,2,1,0,0,13.0,25.0
135,2,1,0,0,15.0458,23.0
136,1,0,0,2,26.283300000000001,19.0
137,1,1,1,0,53.100000000000001,37.0
138,3,1,0,0,9.2166999999999994,16.0
139,1,1,0,0,79.200000000000003,24.0
140,3,0,0,2,15.245799999999999,
141,3,0,0,0,7.75,22.0
142,3,0,1,0,15.85,24.0
143,3,1,0,0,6.75,19.0
144,2,1,0,0,11.5,18.0
145,2,1,1,1,36.75,19.0
146,3,1,0,0,7.7957999999999998,27.0
147,3,0,2,2,34.375,9.0
148,2,1,0,2,26.0,36.5
149,2,1,0,0,13.0,42.0
150,2,1,0,0,12.525,51.0
151,1,0,1,0,66.599999999999994,22.0
152,3,1,0,0,8.0500000000000007,55.5
153,3,1,0,2,14.5,40.5
154,3,1,0,0,7.3125,
155,1,1,0,1,61.379199999999997,51.0
156,3,0,0,0,7.7332999999999998,16.0
157,3,1,0,0,8.0500000000000007,30.0
158,3,1,0,0,8.6624999999999996,
159,3,1,8,2,69.549999999999997,
160,3,1,0,1,16.100000000000001,44.0
161,2,0,0,0,15.75,40.0
162,3,1,0,0,7.7750000000000004,26.0
163,3,1,0,0,8.6624999999999996,17.0
164,3,1,4,1,39.6875,1.0
165,3,1,0,2,20.524999999999999,9.0
166,1,0,0,1,55.0,
167,3,0,1,4,27.899999999999999,45.0
168,1,1,0,0,25.925000000000001,
169,3,1,0,0,56.495800000000003,28.0
170,1,1,0,0,33.5,61.0
171,3,1,4,1,29.125,4.0
172,3,0,1,1,11.1333,1.0
173,3,1,0,0,7.9249999999999998,21.0
174,1,1,0,0,30.695799999999998,56.0
175,3,1,1,1,7.8541999999999996,18.0
176,3,1,3,1,25.466699999999999,
177,1,0,0,0,28.712499999999999,50.0
178,2,1,0,0,13.0,30.0
179,3,1,0,0,0.0,36.0
180,3,0,8,2,69.549999999999997,
181,2,1,0,0,15.050000000000001,
182,3,1,4,2,31.387499999999999,9.0
183,2,1,2,1,39.0,1.0
184,3,0,0,2,22.024999999999999,4.0
185,1,1,0,0,50.0,
186,3,0,1,0,15.5,
187,1,1,0,0,26.550000000000001,45.0
188,3,1,1,1,15.5,40.0
189,3,1,0,0,7.8958000000000004,36.0
190,2,0,0,0,13.0,32.0
191,2,1,0,0,13.0,19.0
192,3,0,1,0,7.8541999999999996,19.0
193,2,1,1,1,26.0,3.0
194,1,0,0,0,27.720800000000001,44.0
195,1,0,0,0,146.52080000000001,58.0
196,3,1,0,0,7.75,
197,3,1,0,1,8.4041999999999994,42.0
198,3,0,0,0,7.75,
199,2,0,0,0,13.0,24.0
200,3,1,0,0,9.5,28.0
201,3,1,8,2,69.549999999999997,
202,3,1,0,0,6.4958,34.0
203,3,1,0,0,7.2249999999999996,45.5
204,3,1,0,0,8.0500000000000007,18.0
205,3,0,0,1,10.4625,2.0
206,3,1,1,0,15.85,32.0
207,3,1,0,0,18.787500000000001,26.0
208,3,0,0,0,7.75,16.0
209,1,1,0,0,31.0,40.0
210,3,1,0,0,7.0499999999999998,24.0
211,2,0,0,0,21.0,35.0
212,3,1,0,0,7.25,22.0
213,2,1,0,0,13.0,30.0
214,3,1,1,0,7.75,
215,1,0,1,0,113.27500000000001,31.0
216,3,0,0,0,7.9249999999999998,27.0
217,2,1,1,0,27.0,42.0
218,1,0,0,0,76.291700000000006,32.0
219,2,1,0,0,10.5,30.0
220,3,1,0,0,8.0500000000000007,16.0
221,2,1,0,0,13.0,27.0
222,3,1,0,0,8.0500000000000007,51.0
223,3,1,0,0,7.8958000000000004,
224,1,1,1,0,90.0,38.0
225,3,1,0,0,9.3499999999999996,22.0
226,2,1,0,0,10.5,19.0
227,3,1,0,0,7.25,20.5
228,2,1,0,0,13.0,18.0
229,3,0,3,1,25.466699999999999,
230,1,0,1,0,83.474999999999994,35.0
231,3,1,0,0,7.7750000000000004,29.0
232,2,1,0,0,13.5,59.0
233,3,0,4,2,31.387499999999999,5.0
234,2,1,0,0,10.5,24.0
235,3,0,0,0,7.5499999999999998,
236,2,1,1,0,26.0,44.0
237,2,0,0,2,26.25,8.0
238,2,1,0,0,10.5,19.0
239,2,1,0,0,12.275,33.0
240,3,0,1,0,14.4542,
241,3,0,1,0,15.5,
242,2,1,0,0,10.5,29.0
243,3,1,0,0,7.125,22.0
244,3,1,0,0,7.2249999999999996,30.0
245,1,1,2,0,90.0,44.0
246,3,0,0,0,7.7750000000000004,25.0
247,2,0,0,2,14.5,24.0
248,1,1,1,1,52.554200000000002,37.0
249,2,1,1,0,26.0,54.0
250,3,1,0,0,7.25,
251,3,0,1,1,10.4625,29.0
252,1,1,0,0,26.550000000000001,62.0
253,3,1,1,0,16.100000000000001,30.0
254,3,0,0,2,20.212499999999999,41.0
255,3,0,0,2,15.245799999999999,29.0
256,1,0,0,0,79.200000000000003,
257,1,0,0,0,86.5,30.0
258,1,0,0,0,512.32920000000001,35.0
259,2,0,0,1,26.0,50.0
260,3,1,0,0,7.75,
261,3,1,4,2,31.387499999999999,3.0
262,1,1,1,1,79.650000000000006,52.0
263,1,1,0,0,0.0,40.0
264,3,0,0,0,7.75,
265,2,1,0,0,10.5,36.0
266,3,1,4,1,39.6875,16.0
267,3,1,1,0,7.7750000000000004,25.0
268,1,0,0,1,153.46250000000001,58.0
269,1,0,0,0,135.63329999999999,35.0
270,1,1,0,0,31.0,
271,3,1,0,0,0.0,25.0
272,2,0,0,1,19.5,41.0
273,1,1,0,1,29.699999999999999,37.0
274,3,0,0,0,7.75,
275,1,0,1,0,77.958299999999994,63.0
276,3,0,0,0,7.75,45.0
277,2,1,0,0,0.0,
278,3,1,4,1,29.125,7.0
279,3,0,1,1,20.25,35.0
280,3,1,0,0,7.75,65.0
281,3,1,0,0,7.8541999999999996,28.0
282,3,1,0,0,9.5,16.0
283,3,1,0,0,8.0500000000000007,19.0
284,1,1,0,0,26.0,
285,3,1,0,0,8.6624999999999996,33.0
286,3,1,0,0,9.5,30.0
287,3,1,0,0,7.8958000000000004,22.0
288,2,1,0,0,13.0,42.0
289,3,0,0,0,7.75,22.0
290,1,0,0,0,78.849999999999994,26.0
291,1,0,1,0,91.0792,19.0
292,2,1,0,0,12.875,36.0
293,3,0,0,0,8.8499999999999996,24.0
294,3,1,0,0,7.8958000000000004,24.0
295,1,1,0,0,27.720800000000001,
296,3,1,0,0,7.2291999999999996,23.5
297,1,0,1,2,151.55000000000001,2.0
298,1,1,0,0,30.5,
299,1,0,0,1,247.52080000000001,50.0
300,3,0,0,0,7.75,
301,3,1,2,0,23.25,
302,3,1,0,0,0.0,19.0
303,2,0,0,0,12.35,
304,3,1,0,0,8.0500000000000007,
305,1,1,1,2,151.55000000000001,0.92000000000000004
306,1,0,0,0,110.88330000000001,
307,1,0,1,0,108.90000000000001,17.0
308,2,1,1,0,24.0,30.0
309,1,0,0,0,56.929200000000002,30.0
310,1,0,0,0,83.158299999999997,24.0
311,1,0,2,2,262.375,18.0
312,2,0,1,1,26.0,26.0
313,3,1,0,0,7.8958000000000004,28.0
314,2,1,1,1,26.25,43.0
315,3,0,0,0,7.8541999999999996,26.0
316,2,0,1,0,26.0,24.0
317,2,1,0,0,14.0,54.0
318,1,0,0,2,164.86670000000001,31.0
319,1,0,1,1,134.5,40.0
320,3,1,0,0,7.25,22.0
321,3,1,0,0,7.8958000000000004,27.0
322,2,0,0,0,12.35,30.0
323,2,0,1,1,29.0,22.0
324,3,1,8,2,69.549999999999997,
325,1,0,0,0,135.63329999999999,36.0
326,3,1,0,0,6.2374999999999998,61.0
327,2,0,0,0,13.0,36.0
328,3,0,1,1,20.524999999999999,31.0
329,1,0,0,1,57.979199999999999,16.0
330,3,0,2,0,23.25,
331,1,1,0,0,28.5,45.5
332,1,1,0,1,153.46250000000001,38.0
333,3,1,2,0,18.0,16.0
334,1,0,1,0,133.65000000000001,
335,3,1,0,0,7.8958000000000004,
336,1,1,1,0,66.599999999999994,29.0
337,1,0,0,0,134.5,41.0
338,3,1,0,0,8.0500000000000007,45.0
339,1,1,0,0,35.5,45.0
340,2,1,1,1,26.0,2.0
341,1,0,3,2,263.0,24.0
342,2,1,0,0,13.0,28.0
343,2,1,0,0,13.0,25.0
344,2,1,0,0,13.0,36.0
345,2,0,0,0,13.0,24.0
346,2,0,0,0,13.0,40.0
347,3,0,1,0,16.100000000000001,
348,3,1,1,1,15.9,3.0
349,3,1,0,0,8.6624999999999996,42.0
350,3,1,0,0,9.2249999999999996,23.0
351,1,1,0,0,35.0,
352,3,1,1,1,7.2291999999999996,15.0
353,3,1,1,0,17.800000000000001,25.0
354,3,1,0,0,7.2249999999999996,
355,3,1,0,0,9.5,28.0
356,1,0,0,1,55.0,22.0
357,2,0,0,0,13.0,38.0
358,3,0,0,0,7.8792,
359,3,0,0,0,7.8792,
360,3,1,1,4,27.899999999999999,40.0
361,2,1,1,0,27.720800000000001,29.0
362,3,0,0,1,14.4542,45.0
363,3,1,0,0,7.0499999999999998,35.0
364,3,1,1,0,15.5,
365,3,1,0,0,7.25,30.0
366,1,0,1,0,75.25,60.0
367,3,0,0,0,7.2291999999999996,
368,3,0,0,0,7.75,
369,1,0,0,0,69.299999999999997,24.0
370,1,1,1,0,55.441699999999997,25.0
371,3,1,1,0,6.4958,18.0
372,3,1,0,0,8.0500000000000007,19.0
373,1,1,0,0,135.63329999999999,22.0
374,3,0,3,1,21.074999999999999,3.0
375,1,0,1,0,82.1708,
376,3,0,0,0,7.25,22.0
377,1,1,0,2,211.5,27.0
378,3,1,0,0,4.0125000000000002,20.0
379,3,1,0,0,7.7750000000000004,19.0
380,1,0,0,0,227.52500000000001,42.0
381,3,0,0,2,15.7417,1.0
382,3,1,0,0,7.9249999999999998,32.0
383,1,0,1,0,52.0,35.0
384,3,1,0,0,7.8958000000000004,
385,2,1,0,0,73.5,18.0
386,3,1,5,2,46.899999999999999,1.0
387,2,0,0,0,13.0,36.0
388,3,1,0,0,7.7291999999999996,
389,2,0,0,0,12.0,17.0
390,1,1,1,2,120.0,36.0
391,3,1,0,0,7.7957999999999998,21.0
392,3,1,2,0,7.9249999999999998,28.0
393,1,0,1,0,113.27500000000001,23.0
394,3,0,0,2,16.699999999999999,24.0
395,3,1,0,0,7.7957999999999998,22.0
396,3,0,0,0,7.8541999999999996,31.0
397,2,1,0,0,26.0,46.0
398,2,1,0,0,10.5,23.0
399,2,0,0,0,12.65,28.0
400,3,1,0,0,7.9249999999999998,39.0
401,3,1,0,0,8.0500000000000007,26.0
402,3,0,1,0,9.8249999999999993,21.0
403,3,1,1,0,15.85,28.0
404,3,0,0,0,8.6624999999999996,20.0
405,2,1,1,0,21.0,34.0
406,3,1,0,0,7.75,51.0
407,2,1,1,1,18.75,3.0
408,3,1,0,0,7.7750000000000004,21.0
409,3,0,3,1,25.466699999999999,
410,3,1,0,0,7.8958000000000004,
411,3,1,0,0,6.8582999999999998,
412,1,0,1,0,90.0,33.0
413,2,1,0,0,0.0,
414,3,1,0,0,7.9249999999999998,44.0
415,3,0,0,0,8.0500000000000007,
416,2,0,1,1,32.5,34.0
417,2,0,0,2,13.0,18.0
418,2,1,0,0,13.0,30.0
419,3,0,0,2,24.149999999999999,10.0
420,3,1,0,0,7.8958000000000004,
421,3,1,0,0,7.7332999999999998,21.0
422,3,1,0,0,7.875,29.0
423,3,0,1,1,14.4,28.0
424,3,1,1,1,20.212499999999999,18.0
425,3,1,0,0,7.25,
426,2,0,1,0,26.0,28.0
427,2,0,0,0,26.0,19.0
428,3,1,0,0,7.75,
429,3,1,0,0,8.0500000000000007,32.0
430,1,1,0,0,26.550000000000001,28.0
431,3,0,1,0,16.100000000000001,
432,2,0,1,0,26.0,42.0
433,3,1,0,0,7.125,17.0
434,1,1,1,0,55.899999999999999,50.0
435,1,0,1,2,120.0,14.0
436,3,0,2,2,34.375,21.0
437,2,0,2,3,18.75,24.0
438,1,1,1,4,263.0,64.0
439,2,1,0,0,10.5,31.0
440,2,0,1,1,26.25,45.0
441,3,1,0,0,9.5,20.0
442,3,1,1,0,7.7750000000000004,25.0
443,2,0,0,0,13.0,28.0
444,3,1,0,0,8.1125000000000007,
445,1,1,0,2,81.8583,4.0
446,2,0,0,1,19.5,13.0
447,1,1,0,0,26.550000000000001,34.0
448,3,0,2,1,19.258299999999998,5.0
449,1,1,0,0,30.5,52.0
450,2,1,1,2,27.75,36.0
451,3,1,1,0,19.966699999999999,
452,1,1,0,0,27.75,30.0
453,1,1,1,0,89.104200000000006,49.0
454,3,1,0,0,8.0500000000000007,
455,3,1,0,0,7.8958000000000004,29.0
456,1,1,0,0,26.550000000000001,65.0
457,1,0,1,0,51.862499999999997,
458,2,0,0,0,10.5,50.0
459,3,1,0,0,7.75,
460,1,1,0,0,26.550000000000001,48.0
461,3,1,0,0,8.0500000000000007,34.0
462,1,1,0,0,38.5,47.0
463,2,1,0,0,13.0,48.0
464,3,1,0,0,8.0500000000000007,
465,3,1,0,0,7.0499999999999998,38.0
466,2,1,0,0,0.0,
467,1,1,0,0,26.550000000000001,56.0
468,3,1,0,0,7.7249999999999996,
469,3,0,2,1,19.258299999999998,0.75
470,3,1,0,0,7.25,
471,3,1,0,0,8.6624999999999996,38.0
472,2,0,1,2,27.75,33.0
473,2,0,0,0,13.791700000000001,23.0
474,3,0,0,0,9.8375000000000004,22.0
475,1,1,0,0,52.0,
476,2,1,1,0,21.0,34.0
477,3,1,1,0,7.0457999999999998,29.0
478,3,1,0,0,7.5208000000000004,22.0
479,3,0,0,1,12.2875,2.0
480,3,1,5,2,46.899999999999999,9.0
481,2,1,0,0,0.0,
482,3,1,0,0,8.0500000000000007,50.0
483,3,0,0,0,9.5875000000000004,63.0
484,1,1,1,0,91.0792,25.0
485,3,0,3,1,25.466699999999999,
486,1,0,1,0,90.0,35.0
487,1,1,0,0,29.699999999999999,58.0
488,3,1,0,0,8.0500000000000007,30.0
489,3,1,1,1,15.9,9.0
490,3,1,1,0,19.966699999999999,
491,3,1,0,0,7.25,21.0
492,1,1,0,0,30.5,55.0
493,1,1,0,0,49.504199999999997,71.0
494,3,1,0,0,8.0500000000000007,21.0
495,3,1,0,0,14.458299999999999,
496,1,0,1,0,78.2667,54.0
497,3,1,0,0,15.1,
498,1,0,1,2,151.55000000000001,25.0
499,3,1,0,0,7.7957999999999998,24.0
500,3,1,0,0,8.6624999999999996,17.0
501,3,0,0,0,7.75,21.0
502,3,0,0,0,7.6292,
503,3,0,0,0,9.5875000000000004,37.0
504,1,0,0,0,86.5,16.0
505,1,1,1,0,108.90000000000001,18.0
506,2,0,0,2,26.0,33.0
507,1,1,0,0,26.550000000000001,
508,3,1,0,0,22.524999999999999,28.0
509,3,1,0,0,56.495800000000003,26.0
510,3,1,0,0,7.75,29.0
511,3,1,0,0,8.0500000000000007,
512,1,1,0,0,26.287500000000001,36.0
513,1,0,1,0,59.399999999999999,54.0
514,3,1,0,0,7.4958,24.0
515,1,1,0,0,34.020800000000001,47.0
516,2,0,0,0,10.5,34.0
517,3,1,0,0,24.149999999999999,
518,2,0,1,0,26.0,36.0
519,3,1,0,0,7.8958000000000004,32.0
520,1,0,0,0,93.5,30.0
521,3,1,0,0,7.8958000000000004,22.0
522,3,1,0,0,7.2249999999999996,
523,1,0,0,1,57.979199999999999,44.0
524,3,1,0,0,7.2291999999999996,
525,3,1,0,0,7.75,40.5
526,2,0,0,0,10.5,50.0
527,1,1,0,0,221.7792,
528,3,1,0,0,7.9249999999999998,39.0
529,2,1,2,1,11.5,23.0
530,2,0,1,1,26.0,2.0
531,3,1,0,0,7.2291999999999996,
532,3,1,1,1,7.2291999999999996,17.0
533,3,0,0,2,22.3583,
534,3,0,0,0,8.6624999999999996,30.0
535,2,0,0,2,26.25,7.0
536,1,1,0,0,26.550000000000001,45.0
537,1,0,0,0,106.425,30.0
538,3,1,0,0,14.5,
539,1,0,0,2,49.5,22.0
540,1,0,0,2,71.0,36.0
541,3,0,4,2,31.274999999999999,9.0
542,3,0,4,2,31.274999999999999,11.0
543,2,1,1,0,26.0,32.0
544,1,1,1,0,106.425,50.0
545,1,1,0,0,26.0,64.0
546,2,0,1,0,26.0,19.0
547,2,1,0,0,13.862500000000001,
548,3,1,1,1,20.524999999999999,33.0
549,2,1,1,1,36.75,8.0
550,1,1,0,2,110.88330000000001,17.0
551,2,1,0,0,26.0,27.0
552,3,1,0,0,7.8292000000000002,
553,3,1,0,0,7.2249999999999996,22.0
554,3,0,0,0,7.7750000000000004,22.0
555,1,1,0,0,26.550000000000001,62.0
556,1,0,1,0,39.600000000000001,48.0
557,1,1,0,0,227.52500000000001,
558,1,0,1,1,79.650000000000006,39.0
559,3,0,1,0,17.399999999999999,36.0
560,3,1,0,0,7.75,
561,3,1,0,0,7.8958000000000004,40.0
562,2,1,0,0,13.5,28.0
563,3,1,0,0,8.0500000000000007,
564,3,0,0,0,8.0500000000000007,
565,3,1,2,0,24.149999999999999,24.0
566,3,1,0,0,7.8958000000000004,19.0
567,3,0,0,4,21.074999999999999,29.0
568,3,1,0,0,7.2291999999999996,
569,3,1,0,0,7.8541999999999996,32.0
570,2,1,0,0,10.5,62.0
571,1,0,2,0,51.479199999999999,53.0
572,1,1,0,0,26.387499999999999,36.0
573,3,0,0,0,7.75,
574,3,1,0,0,8.0500000000000007,16.0
575,3,1,0,0,14.5,19.0
576,2,0,0,0,13.0,34.0
577,1,0,1,0,55.899999999999999,39.0
578,3,0,1,0,14.458299999999999,
579,3,1,0,0,7.9249999999999998,32.0
580,2,0,1,1,30.0,25.0
581,1,0,1,1,110.88330000000001,39.0
582,2,1,0,0,26.0,54.0
583,1,1,0,0,40.125,36.0
584,3,1,0,0,8.7125000000000004,
585,1,0,0,2,79.650000000000006,18.0
586,2,1,0,0,15.0,47.0
587,1,1,1,1,79.200000000000003,60.0
588,3,1,0,0,8.0500000000000007,22.0
589,3,1,0,0,8.0500000000000007,
590,3,1,0,0,7.125,35.0
591,1,0,1,0,78.2667,52.0
592,3,1,0,0,7.25,47.0
593,3,0,0,2,7.75,
594,2,1,1,0,26.0,37.0
595,3,1,1,1,24.149999999999999,36.0
596,2,0,0,0,33.0,
597,3,1,0,0,0.0,49.0
598,3,1,0,0,7.2249999999999996,
599,1,1,1,0,56.929200000000002,49.0
600,2,0,2,1,27.0,24.0
601,3,1,0,0,7.8958000000000004,
602,1,1,0,0,42.399999999999999,
603,3,1,0,0,8.0500000000000007,44.0
604,1,1,0,0,26.550000000000001,35.0
605,3,1,1,0,15.550000000000001,36.0
606,3,1,0,0,7.8958000000000004,30.0
607,1,1,0,0,30.5,27.0
608,2,0,1,2,41.5792,22.0
609,1,0,0,0,153.46250000000001,40.0
610,3,0,1,5,31.274999999999999,39.0
611,3,1,0,0,7.0499999999999998,
612,3,0,1,0,15.5,
613,3,1,0,0,7.75,
614,3,1,0,0,8.0500000000000007,35.0
615,2,0,1,2,65.0,24.0
616,3,1,1,1,14.4,34.0
617,3,0,1,0,16.100000000000001,26.0
618,2,0,2,1,39.0,4.0
619,2,1,0,0,10.5,26.0
620,3,1,1,0,14.4542,27.0
621,1,1,1,0,52.554200000000002,42.0
622,3,1,1,1,15.7417,20.0
623,3,1,0,0,7.8541999999999996,21.0
624,3,1,0,0,16.100000000000001,21.0
625,1,1,0,0,32.320799999999998,61.0
626,2,1,0,0,12.35,57.0
627,1,0,0,0,77.958299999999994,21.0
628,3,1,0,0,7.8958000000000004,26.0
629,3,1,0,0,7.7332999999999998,
630,1,1,0,0,30.0,80.0
631,3,1,0,0,7.0541999999999998,51.0
632,1,1,0,0,30.5,32.0
633,1,1,0,0,0.0,
634,3,0,3,2,27.899999999999999,9.0
635,2,0,0,0,13.0,28.0
636,3,1,0,0,7.9249999999999998,32.0
637,2,1,1,1,26.25,31.0
638,3,0,0,5,39.6875,41.0
639,3,1,1,0,16.100000000000001,
640,3,1,0,0,7.8541999999999996,20.0
641,1,0,0,0,69.299999999999997,24.0
642,3,0,3,2,27.899999999999999,2.0
643,3,1,0,0,56.495800000000003,
644,3,0,2,1,19.258299999999998,0.75
645,1,1,1,0,76.729200000000006,48.0
646,3,1,0,0,7.8958000000000004,19.0
647,1,1,0,0,35.5,56.0
648,3,1,0,0,7.5499999999999998,
649,3,0,0,0,7.5499999999999998,23.0
650,3,1,0,0,7.8958000000000004,
651,2,0,0,1,23.0,18.0
652,3,1,0,0,8.4332999999999991,21.0
653,3,0,0,0,7.8292000000000002,
654,3,0,0,0,6.75,18.0
655,2,1,2,0,73.5,24.0
656,3,1,0,0,7.8958000000000004,
657,3,0,1,1,15.5,32.0
658,2,1,0,0,13.0,23.0
659,1,1,0,2,113.27500000000001,58.0
660,1,1,2,0,133.65000000000001,50.0
661,3,1,0,0,7.2249999999999996,40.0
662,1,1,0,0,25.587499999999999,47.0
663,3,1,0,0,7.4958,36.0
664,3,1,1,0,7.9249999999999998,20.0
665,2,1,2,0,73.5,32.0
666,2,1,0,0,13.0,25.0
667,3,1,0,0,7.7750000000000004,
668,3,1,0,0,8.0500000000000007,43.0
669,1,0,1,0,52.0,
670,2,0,1,1,39.0,40.0
671,1,1,1,0,52.0,31.0
672,2,1,0,0,10.5,70.0
673,2,1,0,0,13.0,31.0
674,2,1,0,0,0.0,
675,3,1,0,0,7.7750000000000004,18.0
676,3,1,0,0,8.0500000000000007,24.5
677,3,0,0,0,9.8416999999999994,18.0
678,3,0,1,6,46.899999999999999,43.0
679,1,1,0,1,512.32920000000001,36.0
680,3,0,0,0,8.1374999999999993,
681,1,1,0,0,76.729200000000006,27.0
682,3,1,0,0,9.2249999999999996,20.0
683,3,1,5,2,46.899999999999999,14.0
684,2,1,1,1,39.0,60.0
685,2,1,1,2,41.5792,25.0
686,3,1,4,1,39.6875,14.0
687,3,1,0,0,10.1708,19.0
688,3,1,0,0,7.7957999999999998,18.0
689,1,0,0,1,211.33750000000001,15.0
690,1,1,1,0,57.0,31.0
691,3,0,0,1,13.416700000000001,4.0
692,3,1,0,0,56.495800000000003,
693,3,1,0,0,7.2249999999999996,25.0
694,1,1,0,0,26.550000000000001,60.0
695,2,1,0,0,13.5,52.0
696,3,1,0,0,8.0500000000000007,44.0
697,3,0,0,0,7.7332999999999998,
698,1,1,1,1,110.88330000000001,49.0
699,3,1,0,0,7.6500000000000004,42.0
700,1,0,1,0,227.52500000000001,18.0
701,1,1,0,0,26.287500000000001,35.0
